Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
42.1795,2.82499653345069e-05,0.000106644793246359
42.18,2.82912030616644e-05,0.000106596710010881
42.1805,2.83317250337448e-05,0.00010654669428973
42.181,2.8371525336721e-05,0.000106494754979618
42.1815,2.84105981698409e-05,0.000106440901164612
42.182,2.8448937847145e-05,0.000106385142117696
42.1825,2.84865387989677e-05,0.000106327487302411
42.183,2.85233955734201e-05,0.00010626794637458
42.1835,2.85595028378566e-05,0.000106206529184102
42.184,2.85948553803231e-05,0.000106143245776821
42.1845,2.86294481109886e-05,0.000106078106396451
42.185,2.86632760635591e-05,0.000106011121486574
42.1855,2.8696334396673e-05,0.000105942301692687
42.186,2.87286183952799e-05,0.000105871657864307
42.1865,2.87601234720002e-05,0.000105799201057126
42.187,2.87908451684661e-05,0.000105724942535209
42.1875,2.8820779156645e-05,0.000105648893773239
42.188,2.88499212401414e-05,0.0001055710664588
42.1885,2.8878267355481e-05,0.000105491472494698
42.189,2.89058135733721e-05,0.000105410124001309
42.1895,2.89325560999474e-05,0.000105327033318966
42.19,2.89584912779828e-05,0.000105242213010359
42.1905,2.89836155880933e-05,0.000105155675862972
42.191,2.9007925649905e-05,0.00010506743489152
42.1915,2.90314182232026e-05,0.00010497750334042
42.192,2.905409020905e-05,0.000104885894686256
42.1925,2.90759386508847e-05,0.000104792622640257
42.193,2.90969607355825e-05,0.000104697701150777
42.1935,2.91171537944936e-05,0.000104601144405767
42.194,2.91365153044474e-05,0.000104502966835239
42.1945,2.91550428887244e-05,0.000104403183113718
42.195,2.91727343179957e-05,0.000104301808162674
42.1955,2.91895875112273e-05,0.000104198857152933
42.196,2.92056005365491e-05,0.000104094345507055
42.1965,2.92207716120882e-05,0.000103988288901688
42.197,2.9235099106764e-05,0.000103880703269879
42.1975,2.92485815410478e-05,0.000103771604803359
42.198,2.92612175876825e-05,0.000103661009954772
42.1985,2.9273006072365e-05,0.000103548935439874
42.199,2.928394597439e-05,0.000103435398239681
42.1995,2.92940364272542e-05,0.000103320415602574
42.2,2.93032767192208e-05,0.000103204005046355
42.2005,2.9311666293845e-05,0.000103086184360257
42.201,2.93192047504571e-05,0.000102966971606904
42.2015,2.93258918446066e-05,0.000102846385124225
42.202,2.93317274884634e-05,0.000102724443527318
42.2025,2.9336711751178e-05,0.000102601165710263
42.203,2.93408448591996e-05,0.00010247657084789
42.2035,2.93441271965515e-05,0.00010235067839749
42.204,2.93465593050653e-05,0.000102223508100481
42.2045,2.93481418845721e-05,0.000102095079984021
42.205,2.93488757930526e-05,0.000101965414362567
42.2055,2.93487620467444e-05,0.000101834531839378
42.206,2.93478018202097e-05,0.000101702453307965
42.2065,2.93459964463612e-05,0.000101569199953483
42.207,2.93433474164483e-05,0.000101434793254057
42.2075,2.93398563800046e-05,0.000101299254982055
42.208,2.93355251447563e-05,0.000101162607205286
42.2085,2.93303556764936e-05,0.000101024872288143
42.209,2.93243500989049e-05,0.000100886072892663
42.2095,2.93175106933757e-05,0.000100746231979534
42.21,2.93098398987511e-05,0.000100605372809012
42.2105,2.93013403110647e-05,0.000100463518941769
42.211,2.92920146832327e-05,0.000100320694239665
42.2115,2.92818659247149e-05,0.000100176922866429
42.212,2.92708971011422e-05,0.000100032229288263
42.2125,2.92591114339116e-05,9.9886638274351e-05
42.213,2.92465122997489e-05,9.97401748972739e-05
42.2135,2.92331032302392e-05,9.95928645333294e-05
42.214,2.92188879113257e-05,9.94447328627459e-05
42.2145,2.92038701827764e-05,9.92958058697893e-05
42.215,2.91880540376192e-05,9.91461098427559e-05
42.2155,2.91714436215455e-05,9.8995671373847e-05
42.216,2.91540432322804e-05,9.88445173589178e-05
42.2165,2.91358573189225e-05,9.86926749970976e-05
42.217,2.91168904812492e-05,9.8540171790274e-05
42.2175,2.90971474689899e-05,9.83870355424362e-05
42.218,2.90766331810661e-05,9.82332943588731e-05
42.2185,2.90553526647962e-05,9.80789766452206e-05
42.219,2.90333111150682e-05,9.79241111063535e-05
42.2195,2.90105138734764e-05,9.77687267451173e-05
42.22,2.89869664274244e-05,9.76128528608954e-05
42.2205,2.89626744091928e-05,9.74565190480075e-05
42.221,2.89376435949717e-05,9.72997551939344e-05
42.2215,2.89118799038585e-05,9.71425914773666e-05
42.222,2.8885389396819e-05,9.6985058366071e-05
42.2225,2.88581782756131e-05,9.68271866145731e-05
42.223,2.88302528816842e-05,9.666900726165e-05
42.2235,2.88016196950111e-05,9.65105516276322e-05
42.224,2.87722853329233e-05,9.63518513115089e-05
42.2245,2.87422565488781e-05,9.61929381878359e-05
42.225,2.87115402312004e-05,9.603384440344e-05
42.2255,2.86801434017832e-05,9.587460237392e-05
42.226,2.864807321475e-05,9.57152447799388e-05
42.2265,2.86153369550779e-05,9.55558045633037e-05
42.227,2.85819420371813e-05,9.53963149228329e-05
42.2275,2.85478960034566e-05,9.52368093100014e-05
42.228,2.85132065227864e-05,9.50773214243663e-05
42.2285,2.84778813890042e-05,9.49178852087636e-05
42.229,2.84419285193194e-05,9.47585348442751e-05
42.2295,2.84053559527007e-05,9.45993047449613e-05
42.23,2.83681718482195e-05,9.44402295523556e-05
42.2305,2.83303844833521e-05,9.42813441297184e-05
42.231,2.82920022522393e-05,9.41226835560472e-05
42.2315,2.82530336639043e-05,9.39642831198415e-05
42.232,2.82134873404279e-05,9.38061783126202e-05
42.2325,2.81733720150799e-05,9.36484048221914e-05
42.233,2.81326965304072e-05,9.34909985256735e-05
42.2335,2.80914698362787e-05,9.33339954822673e-05
42.234,2.80497009878852e-05,9.31774319257813e-05
42.2345,2.8007399143697e-05,9.30213442569087e-05
42.235,2.79645735633769e-05,9.28657690352605e-05
42.2355,2.79212336056507e-05,9.27107429711548e-05
42.236,2.78773887261347e-05,9.25563029171649e-05
42.2365,2.78330484751222e-05,9.24024858594301e-05
42.237,2.77882224953273e-05,9.22493289087313e-05
42.2375,2.77429205195897e-05,9.20968692913347e-05
42.238,2.76971523685391e-05,9.19451443396078e-05
42.2385,2.76509279482211e-05,9.1794191482411e-05
42.239,2.76042572476853e-05,9.16440482352666e-05
42.2395,2.75571503365361e-05,9.14947521903111e-05
42.24,2.75096173624473e-05,9.13463410060315e-05
42.2405,2.74616685486415e-05,9.11988523967893e-05
42.241,2.74133141913335e-05,9.10523241221358e-05
42.2415,2.73645646571407e-05,9.09067939759196e-05
42.242,2.73154303804588e-05,9.07622997751917e-05
42.2425,2.72659218608062e-05,9.06188793489103e-05
42.243,2.72160496601352e-05,9.04765705264482e-05
42.2435,2.71658244001135e-05,9.03354111259092e-05
42.244,2.71152567593754e-05,9.01954389422557e-05
42.2445,2.70643574707458e-05,9.00566917352557e-05
42.245,2.70131373184364e-05,8.99192072172514e-05
