Time_s,BCL_Filtered,BCC_Filtered
8.227,1.51692466583696e-05,3.70972832061594e-05
8.2275,1.61671212633053e-05,3.8708533053914e-05
8.228,1.52105620315931e-05,3.53347710413977e-05
8.2285,1.3451725291081e-05,2.93141836161529e-05
8.229,1.11062563169372e-05,2.32990691154707e-05
8.2295,7.22921633377578e-06,1.81811209380927e-05
8.23,1.61499497797947e-06,1.33070535589218e-05
8.2305,-4.14834362349486e-06,8.2225685707717e-06
8.231,-8.31665629319324e-06,3.498377515835e-06
8.2315,-1.09593041793905e-05,-8.62549080113166e-08
8.232,-1.33060217180524e-05,-2.56077781116937e-06
8.2325,-1.55989783864773e-05,-4.6618240092825e-06
8.233,-1.67444028149216e-05,-6.90719895403175e-06
8.2335,-1.60035224653628e-05,-9.07639780103104e-06
8.234,-1.39518140661052e-05,-1.07699899997046e-05
8.2345,-1.15841013376052e-05,-1.22186748796487e-05
8.235,-9.35996355134117e-06,-1.40266733896791e-05
8.2355,-7.42038204414148e-06,-1.63493217900358e-05
8.236,-5.99969768686775e-06,-1.91363279007568e-05
8.2365,-5.21868787088503e-06,-2.28474910459622e-05
8.237,-4.88422249213942e-06,-2.76140562771597e-05
8.2375,-4.68199391827097e-06,-3.17223306677402e-05
8.238,-4.26074133347918e-06,-3.23850560826191e-05
8.2385,-3.16901782236508e-06,-2.86405305686787e-05
8.239,-1.1672928429542e-06,-2.2806478557738e-05
8.2395,1.28553089265257e-06,-1.85477209248128e-05
8.24,3.18184091908246e-06,-1.77112782427166e-05
8.2405,3.84533348025312e-06,-1.92140860205323e-05
8.241,3.68686857868384e-06,-2.04986319904955e-05
8.2415,3.96653518315628e-06,-1.94107814010701e-05
8.242,5.51742375272701e-06,-1.50628359818203e-05
8.2425,7.5461488779866e-06,-8.17746026600705e-06
8.243,7.98298657151216e-06,-1.1560441048344e-06
8.2435,5.35719159604391e-06,3.01473211152797e-06
8.244,3.01129684217419e-07,2.98935088687192e-06
8.2445,-4.90884634829176e-06,3.66644545685666e-07
8.245,-8.27454708478694e-06,-1.8305884976931e-06
8.2455,-9.55890330028237e-06,-2.18561475852152e-06
8.246,-9.95239777155043e-06,-1.67668902617631e-06
8.2465,-1.04555413366226e-05,-1.22211939098097e-06
8.247,-1.08754990833823e-05,1.76126029101923e-07
8.2475,-1.03753798469108e-05,3.74190001799878e-06
8.248,-8.54169562676162e-06,8.48599224845123e-06
