Time_s,BCL_Envelope_Smoothed,BCC_Envelope_Smoothed
33.788,1.00491597637989e-05,2.6111453744813e-05
33.7885,1.00541651844814e-05,2.60998619982058e-05
33.789,1.00591133039401e-05,2.60886788793858e-05
33.7895,1.00640041988338e-05,2.60779005588118e-05
33.79,1.00688379594664e-05,2.60675231790544e-05
33.7905,1.00736146896328e-05,2.60575428559131e-05
33.791,1.00783345064608e-05,2.60479556795367e-05
33.7915,1.00829975402493e-05,2.60387577155459e-05
33.792,1.0087603934303e-05,2.60299450061596e-05
33.7925,1.00921538447637e-05,2.60215135713228e-05
33.793,1.00966474404375e-05,2.60134594098365e-05
33.7935,1.01010849026195e-05,2.60057785004907e-05
33.794,1.01054664249137e-05,2.59984668031976e-05
33.7945,1.01097922130512e-05,2.59915202601273e-05
33.795,1.01140624847033e-05,2.59849347968438e-05
33.7955,1.01182774692924e-05,2.59787063234427e-05
33.796,1.01224374077995e-05,2.59728307356886e-05
33.7965,1.01265425525682e-05,2.59673039161538e-05
33.797,1.01305931671053e-05,2.59621217353558e-05
33.7975,1.01345895258791e-05,2.59572800528957e-05
33.798,1.0138531914114e-05,2.59527747185954e-05
33.7985,1.01424206275822e-05,2.59486015736339e-05
33.799,1.01462559723923e-05,2.59447564516829e-05
33.7995,1.0150038264776e-05,2.59412351800403e-05
33.8,1.01537678308703e-05,2.59380335807625e-05
33.8005,1.01574450064986e-05,2.59351474717943e-05
33.801,1.01610701369478e-05,2.59325726680964e-05
33.8015,1.0164643576744e-05,2.59303049827704e-05
33.802,1.01681656894244e-05,2.59283402281806e-05
33.8025,1.0171636847308e-05,2.5926674217072e-05
33.803,1.01750574312629e-05,2.59253027636863e-05
33.8035,1.01784278304719e-05,2.59242216848714e-05
33.804,1.01817484421956e-05,2.59234268011889e-05
33.8045,1.01850196715334e-05,2.59229139380157e-05
33.805,1.01882419311829e-05,2.59226789266412e-05
33.8055,1.01914156411964e-05,2.59227176053587e-05
33.806,1.01945412287363e-05,2.59230258205523e-05
33.8065,1.01976191278287e-05,2.59235994277766e-05
33.807,1.02006497791149e-05,2.59244342928311e-05
33.8075,1.02036336296017e-05,2.59255262928281e-05
33.808,1.02065711324096e-05,2.59268713172527e-05
33.8085,1.02094627465205e-05,2.59284652690171e-05
33.809,1.02123089365236e-05,2.59303040655067e-05
33.8095,1.02151101723596e-05,2.59323836396177e-05
33.81,1.02178669290649e-05,2.59346999407882e-05
33.8105,1.02205796865139e-05,2.59372489360194e-05
33.811,1.02232489291605e-05,2.59400266108887e-05
33.8115,1.02258751457797e-05,2.59430289705535e-05
33.812,1.02284588292068e-05,2.59462520407461e-05
33.8125,1.02310004760781e-05,2.5949691868758e-05
33.813,1.02335005865693e-05,2.59533445244151e-05
33.8135,1.02359596641345e-05,2.59572061010418e-05
33.814,1.02383782152453e-05,2.59612727164151e-05
33.8145,1.02407567491283e-05,2.59655405137071e-05
33.815,1.02430957775043e-05,2.59700056624166e-05
33.8155,1.02453958143265e-05,2.59746643592892e-05
33.816,1.02476573755193e-05,2.59795128292248e-05
33.8165,1.02498809787171e-05,2.59845473261738e-05
33.817,1.02520671430042e-05,2.59897641340202e-05
33.8175,1.02542163886544e-05,2.59951595674514e-05
33.818,1.0256329236872e-05,2.60007299728164e-05
33.8185,1.0258406209533e-05,2.60064717289686e-05
33.819,1.02604478289275e-05,2.60123812480965e-05
33.8195,1.02624546175034e-05,2.60184549765392e-05
33.82,1.02644270976101e-05,2.60246893955883e-05
33.8205,1.02663657912448e-05,2.60310810222749e-05
33.821,1.02682712197996e-05,2.60376264101418e-05
33.8215,1.02701439038094e-05,2.60443221500002e-05
33.822,1.02719843627021e-05,2.60511648706717e-05
33.8225,1.02737931145508e-05,2.60581512397138e-05
33.823,1.02755706758267e-05,2.60652779641297e-05
33.8235,1.02773175611546e-05,2.60725417910622e-05
33.824,1.02790342830704e-05,2.60799395084706e-05
33.8245,1.02807213517805e-05,2.60874679457908e-05
33.825,1.02823792749236e-05,2.60951239745791e-05
33.8255,1.02840085573344e-05,2.61029045091375e-05
33.826,1.02856097008107e-05,2.6110806507123e-05
33.8265,1.02871832038816e-05,2.61188269701378e-05
33.827,1.02887295615797e-05,2.61269629443022e-05
33.8275,1.02902492652151e-05,2.61352115208093e-05
33.828,1.02917428021531e-05,2.61435698364612e-05
33.8285,1.02932106555938e-05,2.61520350741863e-05
33.829,1.02946533043559e-05,2.61606044635387e-05
33.8295,1.02960712226626e-05,2.61692752811771e-05
33.83,1.02974648799315e-05,2.61780448513262e-05
33.8305,1.02988347405674e-05,2.61869105462179e-05
33.831,1.03001812637592e-05,2.61958697865125e-05
33.8315,1.03015049032792e-05,2.62049200417016e-05
33.832,1.03028061072872e-05,2.62140588304901e-05
33.8325,1.03040853181377e-05,2.62232837211586e-05
33.833,1.03053429721911e-05,2.62325923319061e-05
33.8335,1.03065794996286e-05,2.62419823311717e-05
33.834,1.03077953242715e-05,2.62514514379373e-05
33.8345,1.03089908634042e-05,2.62609974220081e-05
33.835,1.03101665276017e-05,2.62706181042749e-05
33.8355,1.03113227205609e-05,2.62803113569537e-05
33.836,1.03124598389362e-05,2.62900751038056e-05
33.8365,1.03135782721807e-05,2.62999073203366e-05
33.837,1.03146784023896e-05,2.63098060339754e-05
33.8375,1.03157606041505e-05,2.63197693242311e-05
33.838,1.03168252443965e-05,2.63297953228301e-05
33.8385,1.03178726822647e-05,2.63398822138316e-05
33.839,1.03189032689596e-05,2.63500282337226e-05
33.8395,1.03199173476204e-05,2.6360231671492e-05
33.84,1.0320915253194e-05,2.63704908686833e-05
33.8405,1.03218973123123e-05,2.63808042194267e-05
33.841,1.0322863843174e-05,2.63911701704499e-05
33.8415,1.03238151554322e-05,2.64015872210686e-05
33.842,1.03247515500863e-05,2.64120539231549e-05
33.8425,1.03256733193788e-05,2.64225688810863e-05
33.843,1.03265807466971e-05,2.64331307516719e-05
33.8435,1.03274741064807e-05,2.64437382440598e-05
33.844,1.03283536641325e-05,2.64543901196214e-05
33.8445,1.03292196759363e-05,2.64650851918175e-05
33.845,1.03300723889778e-05,2.64758223260408e-05
33.8455,1.03309120410722e-05,2.64866004394403e-05
33.846,1.03317388606954e-05,2.64974185007232e-05
33.8465,1.03325530669211e-05,2.65082755299372e-05
33.847,1.03333548693627e-05,2.65191705982318e-05
33.8475,1.03341444681195e-05,2.65301028276002e-05
33.848,1.03349220537289e-05,2.65410713905994e-05
33.8485,1.03356878071228e-05,2.65520755100513e-05
33.849,1.0336441899589e-05,2.6563114458723e-05
33.8495,1.03371844927375e-05,2.6574187558988e-05
33.85,1.03379157384717e-05,2.65852941824663e-05
33.8505,1.03386357789641e-05,2.65964337496463e-05
33.851,1.0339344746637e-05,2.66076057294859e-05
33.8515,1.03400427641478e-05,2.66188096389946e-05
33.852,1.03407299443786e-05,2.66300450427973e-05
33.8525,1.0341406390431e-05,2.66413115526773e-05
33.853,1.03420721956244e-05,2.66526088271019e-05
33.8535,1.03427274434998e-05,2.66639365707289e-05
33.854,1.03433722078272e-05,2.66752945338946e-05
33.8545,1.03440065526176e-05,2.6686682512083e-05
33.855,1.03446305321388e-05,2.66981003453782e-05
33.8555,1.03452441909361e-05,2.67095479178977e-05
33.856,1.03458475638561e-05,2.67210251572093e-05
33.8565,1.03464406760752e-05,2.67325320337294e-05
33.857,1.03470235431311e-05,2.67440685601056e-05
33.8575,1.03475961709592e-05,2.67556347905815e-05
33.858,1.03481585559314e-05,2.67672308203452e-05
33.8585,1.03487106848995e-05,2.6778856784862e-05
33.859,1.03492525352414e-05,2.67905128591908e-05
33.8595,1.03497840749109e-05,2.6802199257285e-05
33.86,1.0350305262491e-05,2.68139162312776e-05
33.8605,1.03508160472496e-05,2.68256640707525e-05
33.861,1.03513163691991e-05,2.68374431019996e-05
33.8615,1.03518061591585e-05,2.68492536872571e-05
33.862,1.03522853388185e-05,2.68610962239388e-05
33.8625,1.03527538208091e-05,2.68729711438479e-05
33.863,1.03532115087702e-05,2.68848789123783e-05
33.8635,1.03536582974245e-05,2.68968200277025e-05
33.864,1.03540940726527e-05,2.69087950199469e-05
33.8645,1.03545187115713e-05,2.69208044503555e-05
33.865,1.03549320826126e-05,2.69328489104417e-05
33.8655,1.03553340456067e-05,2.69449290211291e-05
33.866,1.03557244518652e-05,2.69570454318812e-05
33.8665,1.03561031442675e-05,2.69691988198207e-05
33.867,1.03564699573484e-05,2.69813898888391e-05
33.8675,1.03568247173876e-05,2.69936193686971e-05
33.868,1.03571672425005e-05,2.70058880141146e-05
33.8685,1.03574973427313e-05,2.7018196603854e-05
33.869,1.03578148201465e-05,2.70305459397933e-05
33.8695,1.03581194689303e-05,2.70429368459932e-05
33.87,1.03584110754814e-05,2.70553701677558e-05
33.8705,1.03586894185104e-05,2.7067846770677e-05
33.871,1.03589542691388e-05,2.70803675396927e-05
33.8715,1.03592053909984e-05,2.70929333781186e-05
33.872,1.03594425403323e-05,2.71055452066851e-05
33.8725,1.03596654660959e-05,2.71182039625674e-05
33.873,1.03598739100592e-05,2.71309105984106e-05
33.8735,1.03600676069097e-05,2.71436660813516e-05
33.874,1.03602462843553e-05,2.7156471392037e-05
33.8745,1.03604096632287e-05,2.71693275236385e-05
33.875,1.03605574575913e-05,2.71822354808653e-05
33.8755,1.03606893748376e-05,2.71951962789751e-05
33.876,1.03608051158006e-05,2.72082109427833e-05
33.8765,1.03609043748564e-05,2.72212805056713e-05
33.877,1.03609868400297e-05,2.72344060085942e-05
33.8775,1.03610521930991e-05,2.72475884990883e-05
33.878,1.03611001097027e-05,2.72608290302796e-05
33.8785,1.03611302594428e-05,2.72741286598927e-05
33.879,1.03611423059919e-05,2.72874884492615e-05
33.8795,1.03611359071975e-05,2.73009094623413e-05
33.88,1.0361110715187e-05,2.73143927647237e-05
33.8805,1.03610663764726e-05,2.73279394226543e-05
33.881,1.03610025320559e-05,2.73415505020536e-05
33.8815,1.03609188175316e-05,2.73552270675417e-05
33.882,1.03608148631918e-05,2.7368970181467e-05
33.8825,1.03606902941293e-05,2.73827809029404e-05
33.883,1.03605447303404e-05,2.73966602868734e-05
33.8835,1.03603777868275e-05,2.7410609383023e-05
33.884,1.03601890737017e-05,2.74246292350421e-05
33.8845,1.03599781962835e-05,2.74387208795359e-05
33.885,1.03597447552043e-05,2.74528853451262e-05
33.8855,1.03594883465071e-05,2.74671236515221e-05
33.886,1.03592085617458e-05,2.7481436808599e-05
33.8865,1.03589049880849e-05,2.74958258154856e-05
33.887,1.03585772083979e-05,2.75102916596589e-05
33.8875,1.03582248013656e-05,2.75248353160491e-05
33.888,1.0357847341573e-05,2.75394577461529e-05
33.8885,1.03574443996066e-05,2.75541598971571e-05
33.889,1.035701554215e-05,2.75689427010717e-05
33.8895,1.03565603320794e-05,2.75838070738737e-05
33.89,1.03560783285582e-05,2.75987539146619e-05
33.8905,1.03555690871311e-05,2.76137841048222e-05
33.891,1.03550321598175e-05,2.76288985072044e-05
33.8915,1.03544670952036e-05,2.76440979653115e-05
33.892,1.0353873438535e-05,2.76593833024997e-05
33.8925,1.03532507318076e-05,2.76747553211916e-05
33.893,1.03525985138581e-05,2.76902148021024e-05
33.8935,1.03519163204542e-05,2.77057625034774e-05
33.894,1.03512036843836e-05,2.77213991603443e-05
33.8945,1.03504601355428e-05,2.77371254837782e-05
33.895,1.03496852010252e-05,2.775294216018e-05
33.8955,1.03488784052086e-05,2.7768849850569e-05
33.896,1.03480392698416e-05,2.77848491898899e-05
33.8965,1.03471673141306e-05,2.78009407863336e-05
33.897,1.0346262054825e-05,2.78171252206727e-05
33.8975,1.03453230063028e-05,2.7833403045612e-05
33.898,1.03443496806555e-05,2.7849774785154e-05
33.8985,1.03433415877723e-05,2.7866240933979e-05
33.899,1.0342298235424e-05,2.7882801956841e-05
33.8995,1.03412191293468e-05,2.78994582879791e-05
33.9,1.03401037733255e-05,2.7916210330544e-05
33.9005,1.03389516692763e-05,2.79330584560411e-05
33.901,1.03377623173299e-05,2.79500030037886e-05
33.9015,1.03365352159133e-05,2.79670442803924e-05
33.902,1.03352698618325e-05,2.79841825592368e-05
33.9025,1.03339657503547e-05,2.80014180799913e-05
33.903,1.03326223752901e-05,2.80187510481338e-05
33.9035,1.03312392290738e-05,2.80361816344909e-05
33.904,1.03298158028478e-05,2.80537099747938e-05
33.9045,1.0328351586543e-05,2.80713361692515e-05
33.905,1.03268460689611e-05,2.80890602821399e-05
33.9055,1.03252987378571e-05,2.81068823414087e-05
33.906,1.03237090800209e-05,2.81248023383042e-05
33.9065,1.03220765813604e-05,2.81428202270094e-05
33.907,1.03204007269837e-05,2.81609359243007e-05
33.9075,1.03186810012829e-05,2.81791493092219e-05
33.908,1.03169168880165e-05,2.81974602227743e-05
33.9085,1.03151078703939e-05,2.82158684676252e-05
33.909,1.03132534311592e-05,2.82343738078317e-05
33.9095,1.03113530526759e-05,2.82529759685825e-05
33.91,1.0309406217012e-05,2.82716746359562e-05
33.9105,1.03074124060258e-05,2.8290469456697e-05
33.911,1.03053711014521e-05,2.83093600380062e-05
33.9115,1.03032817849891e-05,2.83283459473522e-05
33.912,1.03011439383858e-05,2.83474267122957e-05
33.9125,1.02989570435306e-05,2.83666018203326e-05
33.913,1.02967205825399e-05,2.83858707187533e-05
33.9135,1.02944340378478e-05,2.84052328145184e-05
33.914,1.02920968922971e-05,2.8424687474152e-05
33.9145,1.02897086292299e-05,2.84442340236499e-05
33.915,1.02872687325801e-05,2.84638717484056e-05
33.9155,1.02847766869664e-05,2.84835998931518e-05
33.916,1.02822319777858e-05,2.85034176619186e-05
33.9165,1.02796340913088e-05,2.85233242180079e-05
33.917,1.02769825147745e-05,2.85433186839831e-05
33.9175,1.02742767364872e-05,2.85634001416756e-05
33.918,1.02715162459141e-05,2.85835676322069e-05
33.9185,1.02687005337831e-05,2.86038201560259e-05
33.919,1.02658290921821e-05,2.86241566729621e-05
33.9195,1.02629014146593e-05,2.86445761022946e-05
33.92,1.0259916996324e-05,2.86650773228359e-05
33.9205,1.02568753339479e-05,2.86856591730303e-05
33.921,1.02537759260686e-05,2.87063204510687e-05
33.9215,1.02506182730923e-05,2.87270599150169e-05
33.922,1.02474018773985e-05,2.87478762829591e-05
33.9225,1.02441262434448e-05,2.87687682331557e-05
33.923,1.02407908778727e-05,2.87897344042153e-05
33.9235,1.02373952896142e-05,2.88107733952815e-05
33.924,1.02339389899989e-05,2.88318837662321e-05
33.9245,1.02304214928616e-05,2.88530640378938e-05
33.925,1.02268423146514e-05,2.88743126922689e-05
33.9255,1.02232009745398e-05,2.88956281727765e-05
33.926,1.02194969945309e-05,2.89170088845056e-05
33.9265,1.02157298995711e-05,2.89384531944823e-05
33.927,1.021189921766e-05,2.89599594319491e-05
33.9275,1.02080044799605e-05,2.89815258886568e-05
33.928,1.02040452209111e-05,2.90031508191681e-05
33.9285,1.02000209783368e-05,2.90248324411744e-05
33.929,1.01959312935611e-05,2.90465689358234e-05
33.9295,1.01917757115184e-05,2.90683584480592e-05
33.93,1.01875537808661e-05,2.90901990869727e-05
33.9305,1.01832650540972e-05,2.91120889261643e-05
33.931,1.01789090876527e-05,2.9134026004117e-05
33.9315,1.01744854420345e-05,2.91560083245802e-05
33.932,1.01699936819181e-05,2.91780338569644e-05
33.9325,1.01654333762646e-05,2.92001005367453e-05
33.933,1.01608040984343e-05,2.92222062658801e-05
33.9335,1.0156105426298e-05,2.92443489132303e-05
33.934,1.01513369423503e-05,2.92665263149977e-05
33.9345,1.01464982338208e-05,2.92887362751673e-05
33.935,1.01415888927865e-05,2.93109765659607e-05
33.9355,1.01366085162832e-05,2.93332449282979e-05
33.936,1.01315567064166e-05,2.93555390722683e-05
33.9365,1.01264330704732e-05,2.93778566776099e-05
33.937,1.01212372210308e-05,2.94001953941969e-05
33.9375,1.01159687760688e-05,2.94225528425357e-05
33.938,1.0110627359077e-05,2.94449266142686e-05
33.9385,1.01052125991657e-05,2.94673142726852e-05
33.939,1.00997241311733e-05,2.94897133532413e-05
33.9395,1.00941615957745e-05,2.95121213640848e-05
33.94,1.00885246395878e-05,2.95345357865896e-05
33.9405,1.00828129152818e-05,2.95569540758949e-05
33.941,1.00770260816813e-05,2.95793736614527e-05
33.9415,1.00711638038723e-05,2.96017919475805e-05
33.942,1.00652257533063e-05,2.96242063140207e-05
33.9425,1.0059211607904e-05,2.96466141165062e-05
33.943,1.00531210521576e-05,2.96690126873313e-05
33.9435,1.00469537772328e-05,2.96913993359291e-05
33.944,1.00407094810693e-05,2.97137713494529e-05
33.9445,1.00343878684806e-05,2.97361259933646e-05
33.945,1.00279886512525e-05,2.97584605120261e-05
33.9455,1.00215115482411e-05,2.97807721292974e-05
33.946,1.00149562854687e-05,2.98030580491379e-05
33.9465,1.00083225962193e-05,2.98253154562133e-05
33.947,1.00016102211327e-05,2.98475415165052e-05
33.9475,9.99481890829721e-06,2.98697333779266e-05
33.948,9.98794841334133e-06,2.98918881709396e-05
33.9485,9.98099849952372e-06,2.99140030091779e-05
33.949,9.9739689378221e-06,2.99360749900721e-05
33.9495,9.96685950702077e-06,2.99581011954787e-05
33.95,9.95966999379654e-06,2.99800786923114e-05
33.9505,9.95240019280321e-06,3.0002004533177e-05
33.951,9.94504990675466e-06,3.00238757570113e-05
33.9515,9.93761894650628e-06,3.00456893897203e-05
33.952,9.93010713113487e-06,3.00674424448216e-05
33.9525,9.92251428801697e-06,3.00891319240891e-05
33.953,9.91484025290544e-06,3.01107548181986e-05
33.9535,9.9070848700045e-06,3.01323081073761e-05
33.954,9.89924799204286e-06,3.01537887620472e-05
33.9545,9.89132948034544e-06,3.01751937434867e-05
33.955,9.88332920490291e-06,3.01965200044714e-05
33.9555,9.87524704443984e-06,3.02177644899319e-05
33.956,9.86708288648061e-06,3.02389241376061e-05
33.9565,9.85883662741383e-06,3.02599958786926e-05
33.957,9.8505081725546e-06,3.02809766385056e-05
33.9575,9.84209743620502e-06,3.03018633371279e-05
33.958,9.83360434171269e-06,3.03226528900663e-05
33.9585,9.82502882152717e-06,3.03433422089046e-05
33.959,9.81637081725462e-06,3.03639282019576e-05
33.9595,9.8076302797103e-06,3.03844077749243e-05
33.96,9.79880716896894e-06,3.04047778315395e-05
33.9605,9.78990145441335e-06,3.04250352742256e-05
33.961,9.78091311478054e-06,3.04451770047429e-05
33.9615,9.77184213820606e-06,3.04651999248379e-05
33.962,9.76268852226602e-06,3.04851009368914e-05
33.9625,9.75345227401709e-06,3.05048769445644e-05
33.963,9.74413341003415e-06,3.05245248534418e-05
33.9635,9.73473195644607e-06,3.05440415716749e-05
33.964,9.72524794896884e-06,3.05634240106213e-05
33.9645,9.71568143293698e-06,3.05826690854831e-05
33.965,9.70603246333233e-06,3.06017737159418e-05
33.9655,9.69630110481081e-06,3.06207348267916e-05
33.966,9.68648743172688e-06,3.06395493485695e-05
33.9665,9.67659152815575e-06,3.06582142181824e-05
33.967,9.66661348791317e-06,3.06767263795317e-05
33.9675,9.65655341457327e-06,3.06950827841343e-05
33.968,9.64641142148382e-06,3.07132803917402e-05
33.9685,9.63618763177932e-06,3.07313161709476e-05
33.969,9.62588217839176e-06,3.07491870998133e-05
33.9695,9.61549520405917e-06,3.07668901664597e-05
33.97,9.60502686133183e-06,3.07844223696786e-05
33.9705,9.59447731257613e-06,3.08017807195302e-05
33.971,9.58384672997628e-06,3.08189622379386e-05
