Time_s,BCL_Filtered,BCC_Filtered
36.271,1.46200962073391e-06,-3.82775485510676e-05
36.2715,-5.01277727482816e-07,-4.95672135948208e-05
36.272,-2.15926200705909e-06,-5.54916248077755e-05
36.2725,-3.31932766019251e-06,-5.71365114028179e-05
36.273,-4.2600935359703e-06,-5.76921997756817e-05
36.2735,-5.8722006590571e-06,-6.02445497991322e-05
36.274,-9.3764074564886e-06,-6.59295727948457e-05
36.2745,-1.51965986560398e-05,-7.33610457141949e-05
36.275,-2.19817483416345e-05,-7.92479816629996e-05
36.2755,-2.73288809651287e-05,-8.03730360549589e-05
36.276,-2.96945603694544e-05,-7.59021115891928e-05
36.2765,-2.90512948112647e-05,-6.76135440303472e-05
36.277,-2.56667829953593e-05,-5.77165089667752e-05
36.2775,-1.94416236729293e-05,-4.71858947417582e-05
36.278,-1.1162527416334e-05,-3.6315310235778e-05
36.2785,-3.3484257623028e-06,-2.54161160793747e-05
36.279,1.51623354448332e-06,-1.41331473602711e-05
36.2795,3.50750437475037e-06,-1.13427539303934e-06
36.28,5.08779030135455e-06,1.46501079261704e-05
36.2805,8.15622615468328e-06,3.27337958417647e-05
36.281,1.18305340165968e-05,5.09192294231878e-05
36.2815,1.35356229798495e-05,6.61488448911256e-05
36.282,1.20215559671955e-05,7.62153761860254e-05
36.2825,8.92550718196038e-06,8.13500861772923e-05
36.283,7.41937679184734e-06,8.38162899147467e-05
36.2835,9.53804494733492e-06,8.55493514838264e-05
36.284,1.46208114430633e-05,8.63497722571116e-05
36.2845,2.00291110528033e-05,8.44627689268704e-05
36.285,2.36008458055456e-05,7.87503628520866e-05
36.2855,2.56566575336432e-05,7.0161473158321e-05
36.286,2.81929738996602e-05,6.09080210448754e-05
36.2865,3.19576205721969e-05,5.21837440499553e-05
36.287,3.51323125989848e-05,4.31627701068231e-05
36.2875,3.52090222735896e-05,3.25105152030814e-05
36.288,3.11472111556218e-05,2.019336869059e-05
36.2885,2.32798198454436e-05,7.18635648386569e-06
36.289,1.25159431545141e-05,-5.83874769916259e-06
36.2895,6.7522825368841e-07,-1.83681576457286e-05
36.29,-9.5644064997715e-06,-2.88306834599037e-05
36.2905,-1.65793381698164e-05,-3.4861567334223e-05
36.291,-2.14470014168097e-05,-3.55610234720604e-05
36.2915,-2.67954461448105e-05,-3.31308484092633e-05
36.292,-3.40201278355972e-05,-3.14191103332529e-05
36.2925,-4.19599168955341e-05,-3.24146829587716e-05
36.293,-4.80437305956998e-05,-3.45933054808755e-05
36.2935,-5.03287402155489e-05,-3.51885216025703e-05
36.294,-4.85256764363933e-05,-3.35389847083996e-05
36.2945,-4.35547358813532e-05,-3.13194297324393e-05
36.295,-3.66046767201533e-05,-2.9768537437518e-05
36.2955,-2.86412506254614e-05,-2.77826238615432e-05
36.296,-2.02184286549293e-05,-2.31192009650062e-05
36.2965,-1.12462258935357e-05,-1.49790867853945e-05
36.297,-1.26984074410667e-06,-5.01957675778789e-06
36.2975,9.41603448961204e-06,3.97461339232491e-06
36.298,1.91512044372334e-05,1.00973988556375e-05
36.2985,2.61532047079511e-05,1.32332681938382e-05
36.299,3.03650841707392e-05,1.464913199082e-05
36.2995,3.33213134453733e-05,1.59235218146829e-05
36.3,3.61267491946875e-05,1.78850459935489e-05
36.3005,3.84057088722075e-05,2.04266851509136e-05
36.301,3.93407516574259e-05,2.34635858121382e-05
36.3015,3.86825523462506e-05,2.75423892362653e-05
36.302,3.6337361144846e-05,3.27699530837526e-05
36.3025,3.19458037802891e-05,3.75732148704195e-05
36.303,2.55732121934295e-05,3.9627842424895e-05
36.3035,1.83163853407722e-05,3.81440205484674e-05
36.304,1.16483781230452e-05,3.45454434336719e-05
36.3045,6.3004988402506e-06,3.07819942013329e-05
36.305,1.97898537943474e-06,2.74826608167322e-05
36.3055,-2.16567897796115e-06,2.38701517956931e-05
36.306,-7.06943074824002e-06,1.90329027998574e-05
36.3065,-1.32289704146446e-05,1.29770135173465e-05
36.307,-2.00165685564661e-05,6.56419780298835e-06
36.3075,-2.58426835106203e-05,6.55934431839808e-07
36.308,-2.95444124109096e-05,-4.55003607753053e-06
36.3085,-3.12733053419194e-05,-9.30182814433863e-06
36.309,-3.16936607492314e-05,-1.36045808130104e-05
36.3095,-3.09429749735843e-05,-1.70631636564489e-05
36.31,-2.87925684669091e-05,-1.93912347017937e-05
36.3105,-2.52200014055461e-05,-2.08578645251105e-05
36.311,-2.0469839409218e-05,-2.23288715522145e-05
36.3115,-1.51354801539624e-05,-2.48462372720093e-05
36.312,-1.04332427533492e-05,-2.85752108511362e-05
36.3125,-7.62635731374399e-06,-3.19890746564222e-05
36.313,-6.6091135841548e-06,-3.29318394071431e-05
36.3135,-5.58058398120971e-06,-3.10109683368066e-05
36.314,-2.73726158752911e-06,-2.82063864106973e-05
36.3145,1.97591107441186e-06,-2.63995971720624e-05
36.315,7.19439782266674e-06,-2.49182418316882e-05
36.3155,1.1839439242074e-05,-2.14929765071736e-05
36.316,1.59936068375563e-05,-1.52728666292074e-05
36.3165,2.0266858658459e-05,-7.67672635302243e-06
36.317,2.47367275899369e-05,-2.13641296319322e-07
36.3175,2.85669777315748e-05,7.18765372653985e-06
36.318,3.0539809916823e-05,1.50630095058172e-05
36.3185,2.99746653577593e-05,2.27408670913809e-05
36.319,2.71997878222015e-05,2.86831176680682e-05
36.3195,2.32719757678992e-05,3.17655246892198e-05
36.32,1.94511453518901e-05,3.1494435807682e-05
36.3205,1.67782867877945e-05,2.76356791727274e-05
36.321,1.54384693976713e-05,2.03982585692691e-05
36.3215,1.41433089731913e-05,1.06973705880975e-05
36.322,1.08135819147419e-05,-1.99861941713685e-07
36.3225,4.65156287302317e-06,-1.11798529749971e-05
36.323,-2.78518771380652e-06,-2.14057863239593e-05
36.3235,-9.19669496153893e-06,-3.02773676300946e-05
36.324,-1.38534080751386e-05,-3.73841447902919e-05
36.3245,-1.77050548186689e-05,-4.23166651344445e-05
36.325,-2.16745227483849e-05,-4.47363042356056e-05
36.3255,-2.56830045081918e-05,-4.51164390724948e-05
36.326,-2.91532597851848e-05,-4.51500865739747e-05
36.3265,-3.16165618055093e-05,-4.64977380437495e-05
36.327,-3.26451374751824e-05,-4.88803121718666e-05
36.3275,-3.17770753064018e-05,-5.01188756189047e-05
36.328,-2.89305282966419e-05,-4.84758227857748e-05
36.3285,-2.47112745524754e-05,-4.44873078902111e-05
36.329,-1.9933793954114e-05,-4.00736963736077e-05
36.3295,-1.48174737506707e-05,-3.62185201841511e-05
36.33,-9.01281948342803e-06,-3.20507052794e-05
36.3305,-2.5647215444265e-06,-2.60541836795489e-05
36.331,3.59084815069141e-06,-1.76522089134047e-05
36.3315,8.47432640438407e-06,-7.67593323731602e-06
36.332,1.20199160254883e-05,2.03130414573269e-06
36.3325,1.46966116176899e-05,9.27174621586055e-06
36.333,1.66000121556187e-05,1.24223895110595e-05
36.3335,1.75744066952508e-05,1.13460878549597e-05
36.334,1.78711697857305e-05,7.7147078682178e-06
36.3345,1.79558685033717e-05,4.82114079723645e-06
36.335,1.79064987406117e-05,6.74609016068512e-06
36.3355,1.76349202919436e-05,1.59707560027774e-05
36.336,1.74268238545842e-05,3.04197448623607e-05
36.3365,1.76045066530021e-05,4.38857320346084e-05
36.337,1.78176382217286e-05,5.12623161616826e-05
36.3375,1.72278437222136e-05,5.30794695302445e-05
36.338,1.53462153285974e-05,5.34686019956555e-05
36.3385,1.23616403684386e-05,5.45268194242135e-05
36.339,8.79772947409287e-06,5.49120776371894e-05
36.3395,5.11974649331028e-06,5.3540922131884e-05
36.34,1.44173022080892e-06,5.18957822571783e-05
36.3405,-2.66008926178679e-06,5.1913189817389e-05
36.341,-7.73886027124788e-06,5.35068405978698e-05
36.3415,-1.35719157357497e-05,5.51156972691076e-05
36.342,-1.90150124337722e-05,5.54490684971629e-05
36.3425,-2.30766617263503e-05,5.39002917330966e-05
36.343,-2.57287517943897e-05,5.0147024450886e-05
36.3435,-2.735773948057e-05,4.42041681722867e-05
36.344,-2.79757649548581e-05,3.66181334046706e-05
36.3445,-2.74289010237922e-05,2.82350380712511e-05
36.345,-2.58503900424504e-05,1.99250560599945e-05
36.3455,-2.32956775426632e-05,1.24936938468307e-05
