Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
24.339,6.98184664460873e-06,2.96104837078687e-05
24.3395,6.98830715052134e-06,2.96628849617047e-05
24.34,6.99483743340795e-06,2.97154309002498e-05
24.3405,7.00143498386359e-06,2.97681188315035e-05
24.341,7.00809728563185e-06,2.98209460535966e-05
24.3415,7.01482181625361e-06,2.98739098535743e-05
24.342,7.02160604772407e-06,2.99270075061705e-05
24.3425,7.02844744715771e-06,2.99802362725756e-05
24.343,7.03534347746125e-06,3.00335933992003e-05
24.3435,7.0422915980141e-06,3.00870761164346e-05
24.344,7.04928926535626e-06,3.01406816374064e-05
24.3445,7.0563339338833e-06,3.01944071567393e-05
24.345,7.06342305654835e-06,3.0248249849312e-05
24.3455,7.0705540855706e-06,3.03022068690221e-05
24.346,7.07772447315037e-06,3.03562753475535e-05
24.3465,7.08493167219028e-06,3.04104523931506e-05
24.347,7.09217313702231e-06,3.04647350894009e-05
24.3475,7.0994463241406e-06,3.0519120494026e-05
24.348,7.10674869293959e-06,3.05736056376832e-05
24.3485,7.11407770645717e-06,3.0628187522779e-05
24.349,7.12143083212274e-06,3.0682863122295e-05
24.3495,7.12880554250968e-06,3.07376293786277e-05
24.35,7.13619931609194e-06,3.0792483202444e-05
24.3505,7.14360963800448e-06,3.08474214715521e-05
24.351,7.15103400080721e-06,3.09024410297894e-05
24.3515,7.15846990525191e-06,3.09575386859298e-05
24.352,7.16591486105197e-06,3.10127112126086e-05
24.3525,7.17336638765437e-06,3.10679553452686e-05
24.353,7.18082201501354e-06,3.11232677811273e-05
24.3535,7.18827928436678e-06,3.1178645178166e-05
24.354,7.19573574901062e-06,3.12340841541424e-05
24.3545,7.20318897507794e-06,3.12895812856278e-05
24.355,7.21063654231511e-06,3.13451331070685e-05
24.3555,7.21807604485892e-06,3.14007361098745e-05
24.356,7.22550509201269e-06,3.14563867415343e-05
24.3565,7.23292130902122e-06,3.15120814047574e-05
24.357,7.24032233784397e-06,3.15678164566452e-05
24.3575,7.24770583792608e-06,3.1623588207891e-05
24.358,7.25506948696681e-06,3.16793929220093e-05
24.3585,7.26241098168469e-06,3.1735226814596e-05
24.359,7.26972803857906e-06,3.17910860526194e-05
24.3595,7.27701839468738e-06,3.18469667537419e-05
24.36,7.28427980833776e-06,3.19028649856753e-05
24.3605,7.29151005989628e-06,3.19587767655665e-05
24.361,7.29870695250846e-06,3.20146980594176e-05
24.3615,7.30586831283436e-06,3.20706247815372e-05
24.362,7.31299199177683e-06,3.21265527940259e-05
24.3625,7.32007586520236e-06,3.21824779062942e-05
24.363,7.32711783465402e-06,3.22383958746127e-05
24.3635,7.33411582805574e-06,3.22943024016954e-05
24.364,7.34106780040776e-06,3.23501931363155e-05
24.3645,7.3479717344722e-06,3.24060636729523e-05
24.365,7.35482564144857e-06,3.24619095514703e-05
24.3655,7.3616275616384e-06,3.25177262568288e-05
24.366,7.3683755650986e-06,3.25735092188223e-05
24.3665,7.37506775228282e-06,3.26292538118496e-05
24.367,7.38170225467036e-06,3.26849553547138e-05
24.3675,7.38827723538217e-06,3.27406091104492e-05
24.368,7.39479088978315e-06,3.27962102861777e-05
24.3685,7.40124144607048e-06,3.28517540329921e-05
24.369,7.40762716584713e-06,3.29072354458676e-05
24.3695,7.41394634468026e-06,3.29626495635992e-05
24.37,7.42019731264362e-06,3.30179913687672e-05
24.3705,7.42637843484355e-06,3.3073255787728e-05
24.371,7.43248811192792e-06,3.31284376906311e-05
24.3715,7.43852478057727e-06,3.31835318914621e-05
24.372,7.44448691397774e-06,3.32385331481099e-05
24.3725,7.45037302227492e-06,3.32934361624587e-05
24.373,7.45618165300834e-06,3.33482355805039e-05
24.3735,7.46191139152575e-06,3.3402925992491e-05
24.374,7.4675608613771e-06,3.34575019330784e-05
24.3745,7.4731287246876e-06,3.35119578815221e-05
24.375,7.47861368250979e-06,3.35662882618841e-05
24.3755,7.48401447515442e-06,3.36204874432632e-05
24.376,7.48932988249998e-06,3.36745497400496e-05
24.3765,7.49455872428084e-06,3.37284694122027e-05
24.377,7.49969986035407e-06,3.37822406655529e-05
24.3775,7.50475219094483e-06,3.3835857652128e-05
24.378,7.50971465687063e-06,3.38893144705045e-05
24.3785,7.51458623974457e-06,3.3942605166185e-05
24.379,7.51936596215801e-06,3.39957237320005e-05
24.3795,7.52405288784301e-06,3.40486641085402e-05
24.38,7.52864612181487e-06,3.41014201846067e-05
24.3805,7.53314481049553e-06,3.41539857976996e-05
24.381,7.53754814181803e-06,3.42063547345247e-05
24.3815,7.54185534531268e-06,3.42585207315312e-05
24.382,7.54606569217535e-06,3.43104774754757e-05
24.3825,7.55017849531838e-06,3.43622186040136e-05
24.383,7.5541931094045e-06,3.44137377063177e-05
24.3835,7.55810893086426e-06,3.44650283237245e-05
24.384,7.56192539789729e-06,3.45160839504081e-05
24.3845,7.56564199045782e-06,3.45668980340826e-05
24.385,7.56925823022487e-06,3.46174639767319e-05
24.3855,7.57277368055747e-06,3.46677751353696e-05
24.386,7.57618794643535e-06,3.47178248228272e-05
24.3865,7.57950067438548e-06,3.47676063085726e-05
24.387,7.5827115523949e-06,3.4817112819559e-05
24.3875,7.58582030981028e-06,3.48663375411041e-05
